Kp_phi,Kd_phi,Ki_phi,Kp_chi,Ki_chi,Kp_theta,Kd_theta,Ki_theta,Kp_h,Kd_h,Ki_h,Kp_V,Ki_V,Y
9.5519103821,0.9681336267,0.459519904,5.6296259252,0.6480296059,-6.773754751,-0.976155231,0.8453690738,1.8185637127,0.5117423485,0.0748629726,0.33979996,0.9925885177,
4.3960792158,0.1077415483,0.7737707542,8.9827965593,0.9332066413,-3.968993799,-0.419723945,0.6929385877,1.8077615523,0.9436687337,0.1879175835,0.6378395679,0.8418883777,
4.6201240248,0.6865573115,0.4432486497,5.1780356071,0.6698139628,-6.065213043,-0.777075415,0.6443288658,1.5281056211,0.9169433887,0.919189838,0.4539387878,0.1045409082,
7.5677135427,0.4726745349,0.3191558312,5.5081016203,0.1901980396,-8.585717143,-0.958391678,0.201240248,1.449489898,0.5099819964,0.2052340468,0.5383676735,0.4631426285,
7.5467093419,0.8037607522,0.6139987998,9.3263652731,0.6100420084,-8.23844769,-0.937907582,0.3330666133,3.2270454091,0.3056211242,0.4283576715,0.4836487297,0.5461892378,
3.2450490098,0.4264052811,0.0848889778,3.5937187437,0.998919784,-3.529305861,-0.782516503,0.1364272855,1.8473694739,0.5106221244,0.4598059612,0.350330066,0.9361472294,
7.0734146829,0.6204840968,0.5322504501,9.4388877776,0.40030006,-4.901580316,-0.999359872,0.349469894,3.0734146829,0.5018203641,0.0207241448,0.3849289858,0.5385877175,
7.3268653731,0.6564912983,0.6739867974,7.3234646929,0.7690138028,-4.872174435,-0.799959992,0.2548509702,1.0186037207,0.7765953191,0.5627095419,0.4155791158,0.5209141828,
9.4524904981,0.1189037808,0.4763792759,5.0925185037,0.8955791158,-6.692538508,-0.334106821,0.5161032206,3.824164833,0.2329665933,0.9209811962,0.7181316263,0.6864372875,
3.3696739348,0.1826365273,0.4693218644,4.9139827966,0.3678935787,-9.554710942,-0.872134427,0.7235447089,3.0620124025,0.3944388878,0.3216723345,0.6474294859,0.0817363473,
8.7145429086,0.2530306061,0.2266253251,5.1390278056,0.8568713743,-5.976995399,-0.367713543,0.299059812,1.0588117624,0.7428285657,0.8775905181,0.581240248,0.7160832166,
4.5067013403,0.6201240248,0.3722824565,3.3566713343,0.3563712743,-6.450290058,-0.835647129,0.0938187638,1.8335667133,0.9182236447,0.0921794359,0.2375075015,0.7386977395,
9.4664932987,0.7879175835,0.6320344069,5.7586517303,0.9060212042,-9.868373675,-0.285297059,0.7719543909,2.2332466493,0.750830166,0.7472194439,0.5921464293,0.524334867,
4.2560512102,0.8606521304,0.0970434087,8.5852170434,0.473754751,-6.815763153,-0.621044209,0.1024204841,2.1066213243,0.4933386677,0.525290058,0.5543508702,0.9836567313,
9.5547109422,0.4424284857,0.0597959592,7.1599319864,0.7382276455,-5.635327065,-0.775635127,0.6837367473,2.5267053411,0.3920384077,0.3413772755,0.6365233047,0.3781956391,
7.9569913983,0.7956591318,0.7947469494,7.1764352871,0.4454890978,-7.861772354,-0.909261852,0.9567913583,2.7337467493,0.5064612923,0.430945189,0.1090778156,0.3198539708,
6.1786357271,0.8669533907,0.5077455491,7.5410082016,0.7929585917,-9.4944989,-0.583276655,0.0310062012,3.0134026805,0.2396879376,0.9233696739,0.7867653531,0.4439487898,
7.3086617323,0.850030006,0.5275455091,6.6573314663,0.5637727546,-5.219443889,-0.563912783,0.5735147029,2.0868173635,0.723784757,0.6066973395,0.2091138228,0.974534907,
8.0326065213,0.5392878576,0.9823564713,8.3301660332,0.9218643729,-7.958391678,-0.975515103,0.324464893,1.0702140428,0.7773954791,0.4968273655,0.3296459292,0.348929786,
5.2096419284,0.5625125025,0.8263092619,6.8133626725,0.3039807962,-8.470894179,-0.887017403,0.4898979796,2.4408881776,0.8994999,0.0499829966,0.4844008802,0.8449289858,
5.3832766553,0.9675935187,0.3356231246,7.5215043009,0.2827365473,-5.843968794,-0.273454691,0.0830166033,1.4938987798,0.5315863173,0.7649339868,0.5945909182,0.523954791,
4.3316663333,0.1588717744,0.9541268254,6.6948389678,0.7555111022,-6.25845169,-0.527105421,0.0422084417,3.825365073,0.5831166233,0.219564913,0.8080136027,0.2459291858,
8.2986597319,0.3700540108,0.3638527706,4.7474494899,0.9926185237,-3.124624925,-0.730826165,0.0314062813,3.7401480296,0.6615323065,0.6166493299,0.4396479296,0.4274154831,
9.0632126425,0.5547709542,0.0592078416,6.4892978596,0.1621124225,-6.573514703,-0.817883577,0.8895779156,1.9547909582,0.7311462292,0.7762792559,0.7670214043,0.7597919584,
3.4424884977,0.5648529706,0.2546589318,4.5884176835,0.5187637528,-7.137827566,-0.800440088,0.5395079016,2.0202040408,0.3651530306,0.7778715743,0.9522384477,0.3816163233,
4.5165033007,0.5337067413,0.4457971594,4.5359071814,0.6865573115,-9.50290058,-0.427565513,0.8455691138,2.1114222845,0.3304260852,0.1932916583,0.1295739148,0.1121424285,
5.1228245649,0.9908181636,0.268969794,7.4179835967,0.8354470894,-9.115023005,-0.237927586,0.1928385677,1.5521104221,0.7777155431,0.6343638728,0.5090338068,0.2829865973,
5.3776755351,0.274814963,0.4465813163,3.9657931586,0.1075615123,-9.264852971,-0.915183037,0.1346269254,3.8907781556,0.2198439688,0.8254420884,0.9528025605,0.825355071,
4.8119623925,0.2332266453,0.6087057411,6.9468893779,0.3027205441,-5.688537708,-0.997759552,0.3270654131,1.873774755,0.3936387277,0.3425715143,0.9759311862,0.0577915583,
3.8905781156,0.3617723545,0.6024324865,5.3895779156,0.8374274855,-7.658731746,-0.627925585,0.7835567113,3.4724944989,0.2310462092,0.3871564313,0.949229846,0.8044508902,
3.8513702741,0.7211242248,0.4283496699,9.1418283657,0.6906981396,-5.094818964,-0.530946189,0.775355071,3.7317463493,0.5592718544,0.0115683137,0.934374875,0.3042708542,
6.0022004401,0.7486697339,0.5861612322,8.9122824565,0.2379075815,-7.429085817,-0.450770154,0.9157831566,2.0124024805,0.3406681336,0.0790428086,0.0838807762,0.8692538508,
3.599319864,0.7126625325,0.4250170034,3.2306461292,0.1295259052,-6.818563713,-0.894058812,0.0524104821,1.6973394679,0.2230446089,0.4619953991,0.555855171,0.3143428686,
6.6379275855,0.6132826565,0.0821444289,9.4433886777,0.7681136227,-3.026605321,-0.65785157,0.2048409682,3.5703140628,0.8388477696,0.2750970194,0.6848489698,0.8538607722,
8.1292258452,0.7922384477,0.5710662132,8.4861972394,0.3716743349,-7.272254451,-0.995359072,0.9973994799,2.601120224,0.3913982797,0.1516923385,0.8629205841,0.6604020804,
4.9855971194,0.7598319664,0.101160232,4.5179035807,0.9402280456,-3.338867774,-0.943508702,0.625925185,3.6639327866,0.8081216243,0.2918163633,0.1278815763,0.701070214,
5.8551710342,0.9060212042,0.8833566713,3.8037607522,0.3635727145,-9.694738948,-0.707621524,0.9315863173,2.0568113623,0.3013002601,0.3198809762,0.373834767,0.7187437487,
8.7775555111,0.8334666933,0.9619683937,7.6160232046,0.8129425885,-8.048009602,-0.5055011,0.8849769954,1.0138027606,0.2480096019,0.6510832166,0.693874775,0.4564912983,
7.6909381876,0.8048409682,0.8788477696,2.9875975195,0.3291858372,-4.387677536,-0.765393079,0.1358271654,2.1372274455,0.24944989,0.9086407281,0.0979835967,0.3434186837,
9.9733946789,0.2047809562,0.2205481096,3.0926185237,0.849309862,-4.979995999,-0.455411082,0.1664332867,2.7355471094,0.2299259852,0.1911022204,0.7265933187,0.5019103821,
4.8315663133,0.1126025205,0.6526185237,8.9152830566,0.5574714943,-3.954990998,-0.758831766,0.1078215643,3.4796959392,0.9615923185,0.955415083,0.5934626925,0.6185937187,
5.5359071814,0.6824164833,0.9709861972,4.4638927786,0.1781356271,-6.054010802,-0.916783357,0.4700940188,3.2156431286,0.3077015403,0.8718183637,0.8313302661,0.924744949,
9.9719943989,0.9587717544,0.4418763753,5.9266853371,0.6325465093,-6.086217243,-0.806841368,0.0090018004,3.5649129826,0.9355071014,0.3781996399,0.3277655531,0.774424885,
5.4518903781,0.399939988,0.3881616323,7.1434286857,0.3070414083,-3.730946189,-0.302260452,0.4316863373,3.5085017003,0.8780556111,0.5155371074,0.6308821764,0.9581916383,
3.8303660732,0.4447689538,0.5947869574,5.5336067213,0.7160832166,-8.085817163,-0.74634927,0.975195039,3.5721144229,0.6887377475,0.6825315063,0.1671814363,0.0777455491,
5.1382276455,0.5227245449,0.1627165433,7.4449889978,0.5034606921,-6.721944389,-0.670174035,0.7463492699,3.1220244049,0.5328665733,0.6096829366,0.3236287257,0.2869773955,
4.1552310462,0.9983796759,0.5614602921,5.9311862372,0.1442888578,-3.042008402,-0.71210242,0.9473894779,2.0376075215,0.4898179636,0.1254190838,0.4189637928,0.975675135,
8.174034807,0.4674534907,0.5542068414,3.4466893379,0.7974594919,-7.072014403,-0.256491298,0.0910182036,1.5779155831,0.4555711142,0.9195879176,0.2610122024,0.199939988,
6.8829765953,0.7646929386,0.3403280656,3.7077415483,0.7375075015,-4.824564913,-0.862372474,0.8069613923,2.4708941788,0.5080616123,0.5573354671,0.1985837167,0.1077715543,
4.1916383277,0.4705141028,0.1687937588,9.9084816963,0.2908381676,-9.74934987,-0.803320664,0.0704140828,3.2984596919,0.4858171634,0.9651680336,0.2187037407,0.4350170034,
7.1826365273,0.6480296059,0.0411722344,7.5395079016,0.1837167433,-4.228045609,-0.885257051,0.2602520504,1.2196439288,0.7898779756,0.7705071014,0.3815443089,0.5779255851,
4.5641128226,0.999279856,0.3079815963,3.6942388478,0.5025605121,-4.775555111,-0.24704941,0.0214042809,2.7115423085,0.5599119824,0.1903060612,0.7907141428,0.8420784157,
9.1892378476,0.2379075815,0.955695139,8.4876975395,0.5839367874,-3.203040608,-0.913262653,0.0322064413,2.1276255251,0.4163632727,0.189509902,0.7546109222,0.2151430286,
9.8095619124,0.9593118624,0.4752030406,7.6850370074,0.149509902,-5.576515303,-0.370274055,0.1152230446,1.0402080416,0.5221444289,0.0740668134,0.5831206241,0.5845769154,
3.9269853971,0.3232446489,0.0448969794,4.7324464893,0.3871574315,-8.773354671,-0.952310462,0.1836367273,3.5415083017,0.8322864573,0.0428175635,0.1933186637,0.3698339668,
3.4662932587,0.6370474095,0.5283296659,2.9815963193,0.7726145229,-7.395479096,-0.246089218,0.2462492498,2.7787557512,0.9187037407,0.7621474295,0.4387077415,0.2185637127,
3.5321064213,0.4100220044,0.6794758952,3.1871374275,0.1847969594,-6.468493699,-0.264972995,0.0698139628,1.1206241248,0.8561312262,0.8140968194,0.7279095819,0.874194839,
9.024004801,0.7087017403,0.1540908182,4.7684536907,0.3277455491,-4.617323465,-0.483256651,0.5313062613,1.3030606121,0.5919183837,0.8732116423,0.8238087618,0.8074914983,
8.5563112623,0.3862572515,0.9380516103,5.5861172234,0.775675135,-5.629725945,-0.657531506,0.9831966393,2.4054810962,0.4795759152,0.6053040608,0.5035807161,0.076035207,
5.9601920384,0.9389677936,0.1072374475,6.4922984597,0.7344468894,-4.407281456,-0.232486497,0.0522104421,2.1942388478,0.6162432486,0.0553570714,0.2423964793,0.8688737748,
4.0628125625,0.4030006001,0.5118623725,7.2769553911,0.123764753,-7.473894779,-0.203360672,0.8803760752,3.4694938988,0.70010002,0.9530266053,0.4347589518,0.9084016803,
8.4806961392,0.3929185837,0.9841208242,3.5922184437,0.8034006801,-6.430686137,-0.69529906,0.9345869174,1.4824964993,0.3123424685,0.6988527706,0.2083616723,0.9728245649,
3.9437887578,0.725805161,0.6314462893,4.2058411682,0.1986597319,-6.919383877,-0.294258852,0.976195239,3.0920184037,0.7913182637,0.4964292859,0.6613442689,0.075275055,
4.6957391478,0.8440888178,0.865125025,7.0609121824,0.7029405881,-4.201440288,-0.7105021,0.3318663733,2.773954791,0.6783356671,0.1672174435,0.1053170634,0.599209842,
7.9163832767,0.1518503701,0.8002360472,8.2536507301,0.1919983997,-5.369273855,-0.449329866,0.7163432687,2.9665933187,0.5427885577,0.1071074215,0.2211482296,0.0686237247,
7.674134827,0.1030606121,0.1091978396,8.4336867373,0.9524704941,-3.76175235,-0.571754351,0.8595719144,2.5225045009,0.7978795759,0.940885177,0.5699579916,0.725775155,
4.5809161832,0.9071014203,0.0892018404,6.5793158632,0.948869774,-5.370674135,-0.420204041,0.2130426085,2.8459691938,0.576235247,0.4629905981,0.9591958392,0.8179435887,
9.0394078816,0.1712942589,0.9029605921,9.9429885977,0.5430686137,-8.477895579,-0.961592318,0.5325065013,1.1218243649,0.801080216,0.2997779556,0.4847769554,0.050190038,
9.224244849,0.3542108422,0.7576955391,6.4322864573,0.2890378076,-3.487297459,-0.622644529,0.4368873775,2.8513702741,0.3862772555,0.5901770354,0.4877855571,0.7643528706,
5.3384676935,0.9652530506,0.4948069614,2.5810162032,0.2472694539,-6.076415283,-0.721224245,0.2806561312,1.6409281856,0.5898379676,0.0698869774,0.915195039,0.9049809962,
7.2316463293,0.3032606521,0.6230166033,2.9215843169,0.6023004601,-4.191638328,-0.591278256,0.4434886977,2.7901580316,0.3677135427,0.6940758152,0.986085217,0.3158631726,
7.7385477095,0.2649129826,0.5536187237,5.0205041008,0.8383276655,-5.520504101,-0.880936187,0.8643728746,1.2646529306,0.4299659932,0.300375075,0.4484856971,0.1414082817,
8.7453490698,0.6890778156,0.3971794359,4.2028405681,0.7870174035,-8.573114623,-0.984156831,0.0352070414,2.0886177235,0.8383676735,0.6315773155,0.460520104,0.3584316863,
4.9421884377,0.2803960792,0.7488737748,7.0534106821,0.3074014803,-3.014002801,-0.982396479,0.2014402881,2.3970794159,0.9467093419,0.645510102,0.4714262853,0.8059711942,
8.099819964,0.6266053211,0.4271734347,3.9342868574,0.3099219844,-6.287857572,-0.709381876,0.9101820364,3.5211042208,0.7045809162,0.8156891378,0.1030606121,0.8396079216,
5.0850170034,0.6451490298,0.8386597319,5.0460092018,0.6114822965,-5.132626525,-0.330426085,0.9961992398,2.3640728146,0.6277655531,0.0682946589,0.1508221644,0.8225045009,
4.6285257051,0.5356871374,0.8574794959,8.3136627325,0.6210242048,-4.149629926,-0.202880576,0.1644328866,1.225045009,0.6900180036,0.3787967594,0.5120424085,0.6674334867,
8.2286457291,0.2038807762,0.9388357672,6.8958791758,0.825005001,-4.475895179,-0.785877175,0.9827965593,3.0704140828,0.2878575715,0.6791478296,0.9272294459,0.2919183837,
7.6965393079,0.7270654131,0.0229405881,3.8592718544,0.2067613523,-7.279255851,-0.322104421,0.9179835967,1.399679936,0.3638727746,0.2504160832,0.358979796,0.5364972995,
8.6935387077,0.9467093419,0.9229565913,5.8081616323,0.5230846169,-9.099619924,-0.369473895,0.1102220444,2.1174234847,0.7457091418,0.5057841568,0.9394518904,0.800270054,
5.7935587117,0.525425085,0.8192518504,7.8125625125,0.7231046209,-3.869573915,-0.839487898,0.3562712543,3.3800760152,0.8631726345,0.5135467093,0.4099379876,0.4213342669,
3.8835767153,0.5583716743,0.410510102,5.4285857171,0.2321464293,-4.645329066,-0.755311062,0.3556711342,3.775555111,0.3365073015,0.9267533507,0.4398359672,0.699169834,
3.4774954991,0.725985197,0.6626165233,5.5306061212,0.126105221,-4.723744749,-0.56055211,0.5471094219,2.9407881576,0.3269053811,0.589579916,0.7794318864,0.849679936,
5.0654130826,0.1450090018,0.9307981596,7.0669133827,0.5234446889,-7.846369274,-0.894538908,0.8915783157,2.9305861172,0.874694939,0.9219763953,0.3119703941,0.4025205041,
7.7357471494,0.9438287658,0.3977675535,4.0708141628,0.3813962793,-7.147629526,-0.703940788,0.1040208042,2.0316063213,0.5597519504,0.4219883977,0.1380356071,0.1731446289,
7.298859772,0.8431886377,0.7092738548,7.9385877175,0.3457491498,-9.823564713,-0.345309062,0.7177435487,3.4706941388,0.274414883,0.1457211442,0.1047529506,0.0766053211,
6.4894978996,0.8367073415,0.4456011202,2.6320264053,0.5968993799,-7.325465093,-0.543588718,0.9401880376,3.5205041008,0.3905981196,0.4209931986,0.6748829766,0.0648229646,
5.0822164433,0.3943588718,0.8578715743,8.6707341468,0.8419283857,-7.420684137,-0.844288858,0.5825165033,2.7607521504,0.2697739548,0.6064982997,0.2132506501,0.3582416483,
3.1078215643,0.1648129626,0.1527185437,3.7317463493,0.7904380876,-3.99839968,-0.555111022,0.850170034,2.5531106221,0.4939787958,0.0989467894,0.9462212442,0.2879275855,
5.7697539508,0.5608921784,0.4683416683,3.6582316463,0.4840168034,-6.108621724,-0.362592519,0.400480096,2.2848569714,0.2518503701,0.8714202841,0.3963992799,0.799319864,
6.5147029406,0.7184236847,0.4940228046,7.1029205841,0.5563912783,-7.017403481,-0.734666933,0.100620124,3.7389477896,0.6268053611,0.7766773355,0.6669853971,0.7898179636,
5.3552710542,0.2224244849,0.2658331666,9.8064612923,0.648929786,-8.75375075,-0.946709342,0.1776355271,3.2282456491,0.2968193639,0.4207941588,0.2578155631,0.2647429486,
4.3344668934,0.7312062412,0.0264692939,4.1023204641,0.6946589318,-8.952590518,-0.798359672,0.1482296459,3.1124224845,0.675295059,0.619634927,0.8138427686,0.324414883,
3.1680336067,0.523804761,0.7478935787,7.6580316063,0.4316263253,-7.25685137,-0.754670934,0.6901380276,3.8601720344,0.5904780956,0.5179255851,0.8529545909,0.0861072214,
8.7467493499,0.7385877175,0.5487177435,8.649729946,0.7031206241,-6.436287257,-0.406761352,0.7733546709,1.4536907381,0.5555911182,0.2420564113,0.369509902,0.2799459892,
8.3168633727,0.3682536507,0.610470094,4.8959791958,0.3525905181,-8.710342068,-0.361312262,0.8057611522,2.2824564913,0.7530706141,0.7719003801,0.8046289258,0.2694938988,
3.200240048,0.5193038608,0.5638127626,3.7062412482,0.6735947189,-5.129825965,-0.294738948,0.9953990798,2.724744949,0.2960192038,0.6463062613,0.7134306861,0.5444788958,
7.7413482697,0.1214242849,0.4034526905,3.7617523505,0.9206041208,-4.349869974,-0.418443689,0.2416483297,3.3860772154,0.5912782557,0.4182066413,0.6030526105,0.2305361072,
4.1538307662,0.4222644529,0.4228605721,5.5666133227,0.7459691938,-8.190838168,-0.519103821,0.4854970994,2.7319463893,0.3629125825,0.7790658132,0.4686057211,0.9635127025,
8.1306261252,0.5164232847,0.9696139228,9.2228445689,0.1570714143,-9.75075015,-0.263532707,0.8961792358,3.1226245249,0.5355871174,0.1650280056,0.150070014,0.2763352671,
9.7283456691,0.6735947189,0.0670494099,3.6027205441,0.8797359472,-9.199039808,-0.752110422,0.2618523705,1.6673334667,0.599919984,0.9012762553,0.3856811362,0.9927785557,
3.1638327666,0.600860172,0.386005201,7.5545109022,0.6680136027,-8.279055811,-0.446289258,0.9395879176,3.7269453891,0.5203840768,0.7693128626,0.880220044,0.5416283257,
9.9467893579,0.2485297059,0.1356631326,6.8823764753,0.9333866773,-3.574114823,-0.784276855,0.4342868574,1.4518903781,0.6676135227,0.3162982597,0.7811242248,0.8293458692,
5.8411682336,0.1959591918,0.0676375275,6.5013002601,0.3903980796,-5.985397079,-0.624084817,0.0148029606,1.7333466693,0.7767553511,0.5931626325,0.9155711142,0.0522804561,
3.7869573915,0.2035207041,0.4301140228,8.1201240248,0.9679535907,-8.482096419,-0.510142028,0.4034806961,3.7821564313,0.3329865973,0.8857511502,0.1816603321,0.6879575915,
8.6851370274,0.1473494699,0.9025685137,7.5680136027,0.9571514303,-9.222844569,-0.420844169,0.275055011,3.1178235647,0.5143028606,0.121040208,0.425545109,0.0564612923,
7.2862572515,0.8219443889,0.1956511302,2.7265453091,0.9441888378,-9.519703941,-0.213282657,0.399479896,2.6461292258,0.5805561112,0.4345279056,0.7431406281,0.249919984,
3.1876375275,0.4296459292,0.6051770354,7.850070014,0.2820164033,-8.693538708,-0.263052611,0.025205041,2.7049409882,0.7367473495,0.6447139428,0.5652570514,0.4348269654,
8.2958591718,0.1673334667,0.9386397279,4.9154830966,0.8424684937,-3.121824365,-0.332186437,0.8335667133,2.0286057211,0.7399479896,0.0272924585,0.1205481096,0.8126225245,
6.4544908982,0.2668933787,0.660460092,5.449589918,0.3439487898,-7.333866773,-0.287857572,0.7553510702,1.2940588118,0.94974995,0.9946259252,0.6098219644,0.5556911382,
7.4808961792,0.3610522104,0.8527745549,10,0.3284656931,-3.865373075,-0.751790358,0.3438687738,1.6679335867,0.200640128,0.3535187037,0.2429605921,0.7014502901,
9.9537907582,0.3115423085,0.3909061812,5.8141628326,0.9229445889,-5.26005201,-0.829565913,0.6579315863,3.5769153831,0.6972194439,0.8945089018,0.9381356271,0.9929685937,
5.050010002,0.9623724745,0.0844968994,8.9092818564,0.1810162032,-3.9969994,-0.912622525,0.1866373275,3.1136227245,0.5770354071,0.1783636727,0.4349469894,0.5686137227,
9.7843568714,0.8052010402,0.5904740948,3.3656731346,0.9584116823,-6.75835167,-0.847329466,0.0072014403,1.7663532707,0.5219843969,0.7275145029,0.3226885377,0.8595619124,
9.4440888178,0.6334466893,0.8451290258,3.4721944389,0.5308261652,-4.677535507,-0.589357872,0.624524905,1.7567513503,0.9622324465,0.6112752551,0.1647369474,0.1370374075,
4.2266453291,0.7812562513,0.0372514503,8.4081816363,0.1469893979,-4.057211442,-0.617523505,0.7143428686,3.225245049,0.6479295859,0.0979515903,0.799739948,0.2138127626,
4.4058811762,0.300380076,0.7527945589,3.1571314263,0.9458091618,-8.958191638,-0.70330066,0.2154430886,2.6035207041,0.6722544509,0.254794959,0.1899339868,0.2233146629,
6.2024404881,0.5157031406,0.5787117423,3.49919984,0.2474494899,-9.847369474,-0.236167233,0.2840568114,2.4222844569,0.6482496499,0.870425085,0.1835407081,0.5857171434,
7.5341068214,0.3210842168,0.9143308662,4.3153630726,0.4933786757,-4.678935787,-0.407721544,0.6385277055,2.2704540908,0.9159831966,0.5909731946,0.2971154231,0.623914783,
3.2464492899,0.6861972394,0.5596959392,6.5148029606,0.1946989398,-4.862372474,-0.959031806,0.5977195439,3.2228445689,0.4675735147,0.544994999,0.1021204241,0.9363372675,
5.2978595719,0.7439887978,0.7692618524,8.1906381276,0.2679735947,-3.879375875,-0.246409282,0.3020604121,3.224644929,0.3609921984,0.0519733947,0.1348389678,0.9389977996,
5.7921584317,0.5443288658,0.1252730546,9.075815163,0.2888577716,-7.815563113,-0.768593719,0.4172834567,2.2608521704,0.8274854971,0.6570544109,0.9682216443,0.9555311062,
5.4896979396,0.8917983597,0.40110022,5.4885977195,0.7367873575,-3.792558512,-0.703140628,0.0094018804,2.8027605521,0.9846369274,0.0816303261,0.7463372675,0.1465393079,
4.5851170234,0.8698339668,0.2085897179,3.3971794359,0.3943588718,-6.325665133,-0.603280656,0.6663332667,1.0984196839,0.3369873975,0.2104090818,0.9057931586,0.801030206,
7.5551110222,0.425685137,0.8606161232,3.5457091418,0.3142428486,-3.449489898,-0.846689338,0.2346469294,2.7091418284,0.4203640728,0.683924785,0.9266653331,0.9963892779,
7.9695939188,0.5446889378,0.5226445289,7.3864772955,0.4143428686,-9.75635127,-0.291058212,0.6131226245,3.1484296859,0.2972994599,0.5181246249,0.6639767954,0.2170434087,
3.5139027806,0.6971794359,0.7645569114,6.9378875775,0.576195239,-5.141028206,-0.484536907,0.6191238248,3.5955191038,0.3160232046,0.7436367273,0.4915463093,0.0870574115,
5.2558511702,0.375095019,0.3050410082,8.24914983,0.2875975195,-3.056011202,-0.7025005,0.7825565113,2.5033006601,0.8774154831,0.7241308262,0.9465973195,0.9779555911,
8.00040008,0.9333866773,0.7800440088,8.8567713543,0.3232446489,-4.478695739,-0.234726945,0.8635727145,3.0710142028,0.4515703141,0.6256061212,0.5001960392,0.7915283057,
4.9351870374,0.6948389678,0.0776355271,6.4847969594,0.2557311462,-5.349669934,-0.967833567,0.2448489698,2.0928185637,0.7847569514,0.3067443489,0.2564992999,0.0558911782,
7.0720144029,0.8701940388,0.3983556711,6.124724945,0.6899779956,-7.338067614,-0.687937588,0.0076015203,3.4052810562,0.7345069014,0.6273974795,0.5530346069,0.3320164033,
4.3974794959,0.9418483697,0.2848489698,4.5314062813,0.4730346069,-5.281056211,-0.975355071,0.4716943389,3.8379675935,0.8828565713,0.355310062,0.3723304661,0.7459191838,
9.2424484897,0.5322664533,0.4955911182,9.8454690938,0.3619523905,-8.833566713,-0.94494899,0.6235247049,3.2954590918,0.2822564513,0.2814662933,0.9874014803,0.1721944389,
4.1230246049,0.7177035407,0.8272894579,6.7953590718,0.6149029806,-7.157431486,-0.473494699,0.6827365473,1.2844568914,0.4914182837,0.1122824565,0.1570274055,0.7774654931,
9.6723344669,0.2931786357,0.5804760952,8.0691138228,0.1925385077,-3.99419884,-0.783476695,0.8231646329,3.6681336267,0.5370274055,0.9416813363,0.7371234247,0.5800160032,
