kp_chi,ki_chi,kp_phi,kd_phi,ki_phi,Y
2.5043008602,0.3320664133,0.5617123425,1.4042808562,0.6697339468,
0.0198039608,1.3914782957,1.1720344069,1.3578715743,2.1796359272,
2.4022804561,1.5347069414,0.4146829366,1.3318663733,2.6321264253,
2.2816563313,0.0432086417,0.5233046609,1.5179035807,0.4674934987,
1.200240048,1.6215243049,0.8551710342,1.6231246249,2.0650130026,
2.8355671134,0.5685137027,1.9347869574,1.4434886977,0.5827165433,
0.6091218244,0.6153230646,1.799159832,0.6221244249,0.6271254251,
0.7699539908,0.1816363273,2.6393278656,1.4174834967,0.3438687738,
2.2864572915,1.1638327666,2.4766953391,1.9163832767,0.2886577315,
2.7905581116,0.6693338668,1.0286057211,1.923984797,2.599119824,
2.975395079,1.2222444489,1.149829966,1.9791958392,0.450090018,
2.0560112022,1.4038807762,2.6621324265,1.6947389478,2.2624524905,
2.225245049,0.8637727546,1.0190038008,1.6559311862,0.6727345469,
0.1482296459,1.1858371674,2.8469693939,1.4946989398,0.9469893979,
2.3470694139,0.976195239,0.8707741548,0.9889977996,1.2944588918,
1.3814762953,0.1168233647,2.8301660332,1.3982796559,1.0286057211,
1.9845969194,1.6067213443,2.0014002801,0.2036407281,2.6885377075,
0.9775955191,1.3482696539,1.0706141228,0.7201440288,2.6897379476,
2.9705941188,0.7977595519,0.4518903781,1.4770954191,1.5051010202,
2.2534506901,1.6423284657,2.3884776955,0.5157031406,1.9461892378,
0.6907381476,1.1142228446,0.2298459692,0.2968593719,0.300660132,
1.3094618924,1.5483096619,2.475495099,1.374274855,2.3428685737,
0.8629725945,0.5601120224,1.9305861172,0.4292858572,0.0954190838,
0.624124825,1.2674534907,2.7455491098,0.4840968194,1.0520104021,
1.6833366673,0.2368473695,0.4200840168,0.3576715343,0.9793958792,
1.0412082416,0.7077415483,0.9421884377,0.8673734747,1.3868773755,
0.2052410482,1.4582916583,2.7515503101,0.9269853971,1.524304861,
2.9363872775,1.4910982196,0.0780156031,0.7589517904,0.4584916983,
0.7117423485,1.1918383677,1.6827365473,1.925985197,1.9551910382,
0.6775355071,0.4124824965,1.225445089,0.3196639328,1.7691538308,
0.0702140428,0.4684936987,2.050610122,1.4718943789,1.9059811962,
1.7733546709,0.7529505901,2.5109021804,1.3426685337,2.4034806961,
0.2394478896,1.6843368674,0.5815163033,0.1824364873,0.7429485897,
1.8861772354,1.1126225245,1.4768953791,0.0480096019,2.2690538108,
2.100420084,1.5899179836,2.0338067614,0.6273254651,1.9473894779,
0.6277255451,0.3956791358,1.2362472494,1.4362872575,2.0068013603,
2.6717343469,0.9909981996,0.8839767954,0.3628725745,0.1422284457,
1.9797959592,1.9599919984,2.8691738348,0.7517503501,1.6197239448,
0.7537507502,1.0986197239,1.0940188038,0.9897979596,1.4018803761,
1.7949589918,1.8779755951,1.0418083617,1.0530106021,1.1414282857,
2.4658931786,1.2362472494,0.0024004801,0.9833966793,0.9883976795,
0.4548909782,1.7439487898,0.650530106,0.300860172,0.073814763,
0.6691338268,0.4268853771,0.9679935987,0.0636127225,1.4702940588,
1.5201040208,1.7683536707,0.6229245849,0.8565713143,0.2142428486,
2.2174434887,1.6467293459,1.2200440088,0.8233646729,0.4812962593,
0.775355071,1.3646729346,1.2668533707,0.3572714543,1.1042208442,
2.4466893379,0.6081216243,2.9771954391,0.5173034607,1.5585117023,
1.2194438888,0.8349669934,2.5703140628,1.5779155831,0.975795159,
2.1448289658,0.2964592919,0.351070214,0.8913782757,1.2794558912,
2.9483896779,1.0734146829,2.3764752951,0.0608121624,0.3636727345,
2.3548709742,1.3042608522,1.8063612723,1.7171434287,0.400880176,
1.7697539508,1.1398279656,1.1912382476,0.9189837968,2.4400880176,
1.0178035607,1.0542108422,0.0600120024,1.1782356471,0.4602920584,
1.3886777355,1.7955591118,2.2540508102,0.1160232046,1.6275255051,
1.1984396879,1.2122424485,0.3852770554,0.8197639528,2.4214842969,
0.8371674335,0.4324864973,2.6573314663,1.9687937588,2.5361072214,
0.5935187037,0.4420884177,1.3850770154,1.3874774955,2.7179435887,
1.7067413483,1.6195239048,1.3382676535,0.1944388878,1.151030206,
2.7647529506,1.9095819164,2.2576515303,1.7363472695,1.1294258852,
0.8359671934,1.7311462292,2.7683536707,1.425885177,0.1668333667,
0.6985397079,0.7445489098,2.8199639928,0.8341668334,1.2728545709,
1.7109421884,1.3370674135,2.8457691538,1.4854970994,2.6513302661,
1.8195639128,0.1056211242,0.1266253251,1.2266453291,1.349669934,
2.5385077015,0.7353470694,2.2630526105,0.4348869774,0.373874775,
1.4324864973,1.5975195039,2.9945989198,0.1556311262,1.275255051,
2.0872174435,0.3308661732,2.3404680936,1.7271454291,1.2878575715,
2.5955191038,1.901180236,1.3028605721,1.0894178836,1.1168233647,
1.3454690938,1.5967193439,0.2952590518,0.1612322464,1.3112622525,
0.4038807762,0.6881376275,1.0370074015,1.3970794159,1.5771154231,
2.7779555911,1.1606321264,0.2184436887,1.7783556711,0.0936187237,
2.450890178,0.3688737748,0.5731146229,0.9841968394,2.0104020804,
1.8357671534,0.8033606721,0.1554310862,1.6695339068,0.7975595119,
2.7329465893,1.6935387077,1.049609922,0.6277255451,2.723944789,
1.649129826,0.4176835367,0.1578315663,0.7265453091,0.1098219644,
1.2398479696,1.851170234,2.6129225845,1.075015003,1.7661532306,
0.2586517303,1.8055611122,1.0532106421,0.9661932386,2.2768553711,
2.6909381876,1.9179835967,1.7805561112,1.6555311062,2.2942588518,
0.3732746549,1.349869974,0.1404280856,0.8033606721,1.824964993,
1.1144228846,1.8331666333,1.8399679936,0.4856971394,1.8363672735,
2.7857571514,1.3838767754,0.151230246,0.6865373075,0.0882176435,
1.6215243049,0.9713942789,1.3100620124,0.8685737147,0.5653130626,
1.6857371474,0.3044608922,1.0202040408,0.5409081816,1.5339067814,
1.2662532507,1.4814962993,2.0134026805,0.274454891,0.4464892979,
0.0132026405,0.7909581916,2.350070014,1.1270254051,0.149429886,
2.7827565513,1.725545109,1.5837167433,1.1778355671,2.3296659332,
2.5097019404,1.3882776555,1.8387677536,0.4280856171,2.0428085617,
0.1896379276,0.5945189038,1.1966393279,1.5171034207,1.3352670534,
0.7861572314,0.0944188838,0.1200240048,1.3078615723,2.7113422685,
0.099619924,0.1124224845,1.0640128026,1.9027805561,1.023804761,
0.9943988798,0.9889977996,0.3912782557,0.3136627325,1.9041808362,
0.3288657732,0.7193438688,0.1344268854,1.3930786157,2.3692738548,
1.8531706341,0.948989798,0.5935187037,1.5595119024,0.3096619324,
0.0810162032,1.2946589318,2.124424885,0.8225645129,1.4528905781,
1.7403480696,0.6225245049,2.6153230646,1.7879575915,2.6369273855,
1.0100020004,1.7539507902,0.4554910982,1.4898979796,2.2558511702,
1.3304660932,0.6441288258,2.5463092619,1.8875775155,1.5111022204,
1.1486297259,1.25025005,0.0486097219,0.5121024205,1.9845969194,
0.8953790758,0.2552510502,1.0796159232,1.9667933587,2.4964992999,
1.4804960992,1.2806561312,0.925385077,1.7411482296,1.125225045,
0.9931986397,1.7419483897,2.400480096,1.5963192639,2.4322864573,
2.1598319664,1.6227245449,1.9965993199,0.7225445089,0.2292458492,
1.1894378876,0.4936987397,2.5403080616,1.4618923785,0.1176235247,
2.4268853771,0.3976795359,1.3364672935,0.6593318664,1.6839367874,
0.4110822164,1.1050210042,2.525905181,1.2654530906,2.9123824765,
2.674134827,1.675135027,2.075815163,1.3370674135,1.0388077616,
0.4662932587,1.176235247,2.9699939988,1.9199839968,0.1122224445,
1.9899979996,1.3134626925,0.9019803961,1.1178235647,1.2710542108,
1.376075215,1.9339867974,1.0424084817,0.6485297059,2.5481096219,
2.4052810562,1.373874775,1.4120824165,0.9421884377,1.4672934587,
1.6395279056,1.8263652731,2.0470094019,0.9881976395,0.6133226645,
1.8201640328,0.1232246449,0.9049809962,0.4648929786,2.4514902981,
2.4730946189,1.1594318864,0.9517903581,0.225245049,0.0582116423,
1.7727545509,0.0440088018,0.8665733147,1.9127825565,1.3424684937,
2.4454890978,1.1914382877,0.9625925185,1.6215243049,0.7165433087,
2.2348469694,0.1964392879,2.7689537908,1.1314262853,0.0942188438,
2.9141828366,1.3770754151,1.7973594719,0.5697139428,1.1702340468,
2.6237247449,0.8425685137,0.7141428286,0.3144628926,0.4326865373,
2.9201840368,0.9349869974,2.9435887177,1.9947989598,2.5643128626,
0.6421284257,0.0876175235,0.3126625325,0.0196039208,2.3944788958,
1.3160632126,0.3056611322,2.0872174435,1.0522104421,1.2338467694,
1.5861172234,1.8579715943,1.3370674135,0.1360272054,1.2134426885,
1.1726345269,0.1460292058,2.4880976195,0.0928185637,1.2920584117,
1.7769553911,1.4534906981,2.0878175635,0.6881376275,2.2528505701,
0.0546109222,1.4966993399,2.5331066213,0.375275055,1.0406081216,
2.3314662933,0.2784556911,1.9587917584,0.1348269654,2.0464092819,
0.7351470294,0.2804560912,0.875575115,1.2814562913,2.1016203241,
2.2084416883,1.224644929,2.4046809362,1.2798559712,0.6109221844,
2.6705341068,1.0414082817,1.6551310262,0.2572514503,0.199839968,
2.624924985,1.3590718144,1.2458491698,1.2778555711,1.8381676335,
2.0890178036,1.0394078816,1.4450890178,0.5781156231,1.5093018604,
2.9885977195,1.2078415683,1.574114823,1.2894578916,1.9593918784,
0.4824964993,0.3736747349,2.3176635327,1.9731946389,0.4170834167,
0.2130426085,1.3098619724,0.3558711742,0.9605921184,1.2182436487,
0.8887777556,0.5973194639,2.7953590718,1.3374674935,0.8113622725,
1.3514702941,1.9583916783,2.0332066413,0.4208841768,1.6797359472,
1.5933186637,0.4896979396,1.2872574515,0.0796159232,2.8439687938,
1.3766753351,1.6115223045,2.5625125025,1.0354070814,1.2458491698,
0.7459491898,0.0868173635,0.4872974595,1.0718143629,0.5107021404,
2.9303860772,0.7033406681,1.8885777155,0.5125025005,2.5475095019,
2.8307661532,0.0272054411,0.9583916783,0.9389877976,0.2772554511,
1.473894779,1.2850570114,1.7055411082,0.0384076815,1.4060812162,
0.975195039,0.725345069,1.0208041608,0.3532706541,0.7267453491,
0.9601920384,1.8855771154,1.5591118224,0.8541708342,2.3446689338,
2.1394278856,0.9329865973,1.7697539508,0.6329265853,1.5441088218,
2.7341468294,0.8781756351,0.7045409082,0.3880776155,0.1614322865,
0.0066013203,1.3534706941,2.675335067,0.4480896179,1.6281256251,
2.0680136027,1.2046409282,0.5071014203,0.1588317664,0.5917183437,
1.5891178236,0.4876975395,1.8837767554,1.851170234,0.8161632326,
2.9015803161,1.2026405281,2.374074815,0.949789958,0.525705141,
2.8829765953,1.6627325465,2.2078415683,0.3940788158,2.6291258252,
2.3608721744,1.025005001,1.1348269654,0.9637927586,1.674334867,
2.573914783,1.7079415883,1.8561712342,0.8929785957,2.7203440688,
0.99919984,1.1314262853,2.9093818764,0.4032806561,1.6095219044,
2.1334266853,1.3558711742,2.8949789958,1.9887977596,0.6223244649,
0.1962392478,1.2354470894,0.8041608322,1.0538107622,2.8073614723,
2.7563512703,0.7389477896,0.2454490898,0.0916183237,1.6131226245,
1.7409481896,0.2596519304,1.8813762753,1.9919983997,1.8285657131,
0.1212242448,0.5233046609,1.9923984797,1.5075015003,0.9265853171,
1.0106021204,1.2566513303,1.7523504701,0.2684536907,0.3948789758,
0.4974994999,1.8151630326,1.4024804961,1.224244849,0.3066613323,
2.6285257051,1.7431486297,2.7983596719,1.0666133227,2.6981396279,
1.3634726945,1.399079816,0.0324064813,0.8349669934,1.2062412482,
1.3676735347,1.3606721344,1.7793558712,1.2646529306,2.724544909,
2.4778955791,1.6899379876,2.9831966393,1.1034206841,2.7395479096,
1.4102820564,1.2098419684,2.7293458692,1.5131026205,2.2060412082,
1.6197239448,1.50110022,1.8849769954,0.9053810762,2.9393878776,
2.3296659332,1.3910782156,1.6389277856,0.6053210642,1.9701940388,
1.7457491498,1.8611722344,2.0152030406,1.7655531106,1.0856171234,
1.3772754551,1.7947589518,1.3784756951,1.8219643929,1.5399079816,
1.848969794,0.2096419284,1.6527305461,0.5069013803,1.5705141028,
0.1164232847,1.2074414883,0.8851770354,1.0878175635,2.1610322064,
0.9037807562,0.3096619324,2.2636527305,0.9121824365,0.3360672134,
2.3878775755,1.7559511902,1.7391478296,1.6351270254,2.4688937788,
0.9847969594,0.5821164233,1.49969994,0.8217643529,0.7117423485,
0.2460492098,0.4116823365,0.3330666133,1.274254851,1.9215843169,
0.850970194,1.8391678336,0.0636127225,1.8391678336,1.9209841968,
1.949189838,0.5125025005,2.4358871774,1.7679535907,1.0688137628,
2.9585917183,0.3316663333,0.1374274855,0.4876975395,2.3530706141,
0.6667333467,0.8889777956,2.0422084417,1.2982596519,1.5969193839,
1.2272454491,0.525305061,2.3212642529,0.2100420084,2.7857571514,
0.9115823165,1.125825165,1.1732346469,0.6393278656,2.2900580116,
1.8399679936,0.7729545909,1.0160032006,1.5207041408,0.825165033,
0.1428285657,1.4118823765,1.6161232246,0.724944989,2.1670334067,
1.5411082216,1.7915583117,2.3560712142,0.4928985797,0.9349869974,
1.8783756751,1.4642928586,0.7129425885,0.8461692338,1.3880776155,
1.9059811962,1.0646129226,1.2842568514,1.3178635727,1.4216843369,
2.5661132226,1.4354870974,2.3470694139,0.4772954591,2.5703140628,
2.6099219844,1.1330266053,0.7279455891,1.9535907181,1.8555711142,
2.4820964193,1.8695739148,2.9087817564,0.3308661732,0.4476895379,
2.1022204441,1.9083816763,1.9413882777,0.3780756151,1.6203240648,
0.9883976795,1.1650330066,2.4634926985,0.9373874775,2.5199039808,
2.5787157431,1.6719343869,1.675535107,0.1132226445,1.2464492899,
2.4076815363,0.0436087217,2.2684536907,1.7711542308,2.3662732547,
2.5139027806,0.0120024005,0.6031206241,1.7215443089,1.3418683737,
2.2666533307,0.400480096,1.7193438688,0.7013402681,2.5373074615,
0.1854370874,0.0904180836,0.475295059,0.1680336067,2.5325065013,
1.8711742348,1.9175835167,1.1834366873,1.9143828766,0.0054010802,
0.9373874775,0.2768553711,0.2418483697,0.2956591318,0.4644928986,
1.5291058212,1.4382876575,0.0918183637,1.6959391878,0.3078615723,
0.0144028806,0.74974995,1.4168833767,0.4800960192,2.7281456291,
0.6019203841,1.5427085417,1.3844768954,0.4920984197,2.8037607522,
2.4538907782,0.5341068214,2.0590118024,1.225845169,1.0976195239,
1.0376075215,0.0592118424,0.1728345669,0.2168433687,2.3050610122,
1.4486897379,1.0390078016,1.7211442288,1.6635327065,0.5233046609,
2.3098619724,0.8685737147,0.7621524305,1.9783956791,1.0868173635,
1.6941388278,0.5225045009,2.3122624525,1.9779955991,1.8213642729,
0.5359071814,1.3390678136,2.3932786557,0.7665533107,1.0934186837,
1.4468893779,1.975195039,2.3284656931,0.7449489898,1.6353270654,
2.5115023005,0.2084416883,1.9689937988,1.1802360472,1.3514702941,
1.7787557512,0.4164832967,1.7037407481,1.5307061412,1.274654931,
1.8975795159,1.524704941,1.0688137628,1.5371074215,2.2630526105,
2.4094818964,1.8623724745,0.050410082,1.7063412683,0.4458891778,
2.9951990398,0.0276055211,1.4114822965,1.200640128,2.300260052,
1.2518503701,1.3270654131,0.9193838768,1.9267853571,0.6625325065,
1.7235447089,0.450890178,1.7535507101,0.8061612322,1.2296459292,
2.7521504301,0.4328865773,2.8451690338,0.1884376875,0.8857771554,
1.5711142228,1.3762752551,2.4676935387,0.0776155231,0.874374875,
2.0386077215,1.6051210242,0.6439287858,1.1302260452,1.6581316263,
2.5295059012,0.2724544909,2.7143428686,0.0108021604,0.9307861572,
2.7431486297,0.3228645729,1.5945189038,1.9167833567,0.1944388878,
2.8733746749,1.5159031806,0.7381476295,1.25105021,0.9625925185,
0.0900180036,1.2266453291,0.8821764353,1.1654330866,1.6569313863,
1.7415483097,1.7095419084,0.6115223045,1.4270854171,2.9021804361,
0.3330666133,1.2558511702,2.2180436087,1.9787957592,0.5527105421,
0.6781356271,0.2116423285,1.4660932186,1.9299859972,1.5309061812,
1.775155031,1.4714942989,0.3336667333,0.7453490698,1.1102220444,
1.2158431686,1.4886977395,2.2390478096,0.3452690538,2.9027805561,
2.0572114423,0.5597119424,0.7483496699,1.0662132426,0.574914983,
2.9699939988,0.0716143229,0.4920984197,1.7723544709,2.9615923185,
0.4686937387,1.6955391078,1.6473294659,1.4790958192,0.6853370674,
0.448889778,0.0832166433,1.1942388478,1.3190638128,1.9449889978,
0.2142428486,0.298859772,2.9543908782,0.1552310462,2.5037007401,
1.850770154,0.049609922,0.924184837,0.5077015403,0.5341068214,
0.8815763153,1.8871774355,0.4212842569,0.2864572915,0.1980396079,
2.3734746949,0.2456491298,1.9809961992,1.0934186837,2.9477895579,
0.1032206441,1.9831966393,2.9363872775,0.6109221844,1.8783756751,
2.9789957992,0.0196039208,1.1612322464,1.0610122024,0.2844568914,
0.9403880776,1.2530506101,1.2284456891,0.3468693739,1.199639928,
0.5965193039,1.2638527706,2.0572114423,1.4662932587,0.5677135427,
0.3306661332,1.7867573515,1.7217443489,0.9017803561,0.1950390078,
2.2168433687,0.1348269654,1.3376675335,0.050410082,0.8467693539,
2.4664932987,1.3870774155,0.5623124625,0.1448289658,0.7459491898,
